ballet,measure_num,movements_in_measure,unique_body_movements_in_measure,unique_directions_in_measure,repetition_index,direction_diversity_index,year,length_seconds,choreographer,nationality
coppelia_dawn,1,4,4,4,0.0,1.0,1870,163,arthur_saint-leon,french
coppelia_dawn,7,9,4,2,0.5555555555555556,0.2222222222222222,1870,163,arthur_saint-leon,french
coppelia_dawn,8,6,4,5,0.33333333333333337,0.8333333333333334,1870,163,arthur_saint-leon,french
coppelia_dawn,9,7,5,4,0.2857142857142857,0.5714285714285714,1870,163,arthur_saint-leon,french
coppelia_dawn,10,2,2,1,0.0,0.5,1870,163,arthur_saint-leon,french
coppelia_dawn,11,10,4,3,0.6,0.3,1870,163,arthur_saint-leon,french
coppelia_dawn,12,2,1,1,0.5,0.5,1870,163,arthur_saint-leon,french
coppelia_dawn,13,11,5,3,0.5454545454545454,0.2727272727272727,1870,163,arthur_saint-leon,french
coppelia_dawn,14,1,1,1,0.0,1.0,1870,163,arthur_saint-leon,french
coppelia_dawn,17,4,3,2,0.25,0.5,1870,163,arthur_saint-leon,french
coppelia_dawn,18,8,4,4,0.5,0.5,1870,163,arthur_saint-leon,french
coppelia_dawn,19,3,3,2,0.0,0.6666666666666666,1870,163,arthur_saint-leon,french
coppelia_dawn,20,6,4,2,0.33333333333333337,0.3333333333333333,1870,163,arthur_saint-leon,french
coppelia_dawn,21,9,4,3,0.5555555555555556,0.3333333333333333,1870,163,arthur_saint-leon,french
coppelia_dawn,22,9,4,6,0.5555555555555556,0.6666666666666666,1870,163,arthur_saint-leon,french
coppelia_dawn,23,5,5,2,0.0,0.4,1870,163,arthur_saint-leon,french
coppelia_dawn,24,10,5,5,0.5,0.5,1870,163,arthur_saint-leon,french
coppelia_dawn,25,5,2,3,0.6,0.6,1870,163,arthur_saint-leon,french
coppelia_dawn,26,7,5,3,0.2857142857142857,0.42857142857142855,1870,163,arthur_saint-leon,french
coppelia_dawn,27,10,5,5,0.5,0.5,1870,163,arthur_saint-leon,french
coppelia_dawn,28,11,6,4,0.4545454545454546,0.36363636363636365,1870,163,arthur_saint-leon,french
coppelia_dawn,30,3,3,2,0.0,0.6666666666666666,1870,163,arthur_saint-leon,french
coppelia_dawn,31,16,7,3,0.5625,0.1875,1870,163,arthur_saint-leon,french
coppelia_dawn,34,16,8,6,0.5,0.375,1870,163,arthur_saint-leon,french
coppelia_dawn,35,8,4,3,0.5,0.375,1870,163,arthur_saint-leon,french
coppelia_dawn,36,17,7,6,0.5882352941176471,0.35294117647058826,1870,163,arthur_saint-leon,french
coppelia_dawn,38,4,4,2,0.0,0.5,1870,163,arthur_saint-leon,french
coppelia_dawn,39,11,6,4,0.4545454545454546,0.36363636363636365,1870,163,arthur_saint-leon,french
coppelia_dawn,40,1,1,1,0.0,1.0,1870,163,arthur_saint-leon,french
coppelia_dawn,41,10,7,6,0.30000000000000004,0.6,1870,163,arthur_saint-leon,french
